source,frequency,last_target_date,last_status,previous_status,last_attempt_at,last_success_at,last_success_date,consecutive_unhealthy,open_incidents,next_action,last_error_type,last_error,crawl_mode,candidates_seen,pages_fetched,new_articles,refreshed_articles,usable_articles,incomplete_articles,short_articles,min_content_chars,content_chars_min,content_chars_median,content_chars_max,updated_at
H2 View,工作日,2026-08-27,degraded,degraded,2026-08-28T14:45:18.986817+08:00,2026-08-24T13:21:44.883084+08:00,2026-08-23,4,3,repair_then_reconfirm,,5 articles were not verified as full text (paywall_or_login_wall),listing,12,12,6,0,1,5,0,500,549,684,2209,2026-08-28T14:45:21.458668+08:00
Hydrogen Tech World,周度,2026-08-27,healthy,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,,rss,10,1,1,0,1,0,0,500,1862,1862,1862,2026-08-28T14:45:21.458668+08:00
Informationsdienst Wissenschaft-idw,工作日,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,7,repair_then_reconfirm,,,listing,73,13,3,0,3,0,0,500,3576,6017,7405,2026-08-28T14:45:21.458668+08:00
INSIDEEVs,实时,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,,rss,20,4,4,0,4,0,0,500,2895,3008,4520,2026-08-28T14:45:21.458668+08:00
interesting engineering,实时,2026-08-27,degraded,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-27T11:53:38.288048+08:00,2026-08-26,1,5,repair_then_reconfirm,,1 articles were not verified as full text (public_preview_only),listing,40,20,20,0,19,1,0,500,592,3524,4505,2026-08-28T14:45:21.458668+08:00
IT之家,实时,2026-08-27,idle,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,2,repair_then_reconfirm,,all observed candidates were published outside the target date (2026-08-28),rss,60,0,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
MIT Technology Review,实时,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,8,repair_then_reconfirm,,,rss,10,3,2,0,2,0,0,500,4915,6281,7647,2026-08-28T14:45:21.458668+08:00
MIT Technology Review Climate,每周,2026-08-27,idle,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,no target-date articles were expected for this source schedule,rss,10,0,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
NE时代,实时,2026-08-27,healthy,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,7,repair_then_confirm,,,listing,20,20,14,0,14,0,0,500,2425,4101,8450,2026-08-28T14:45:21.458668+08:00
perovskite-info,实时,2026-08-27,zero,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-27T11:53:38.288048+08:00,2026-08-26,1,8,repair_then_reconfirm,,no target-date articles were collected,listing,17,17,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
pv magazine,实时,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,7,repair_then_reconfirm,,,rss,10,6,6,0,6,0,0,500,1728,3275,4962,2026-08-28T14:45:21.458668+08:00
